Date,Country,New Cases,Cumulative Cases,7 Day Moving Average,Infection Rate,Deaths,Cumulative Deaths,7 Day Moving Average,Death Rate,Speed,Acceleration,Jerk,1 Day Persistence,7 Day Persistence
11/5/2020,DC,81,17682,86.85714286,11.47716823,3,650,0.714285714,0.425080305,12.30708692,-0.404838385,-0.607257578,0.18129482,12.85200129
11/12/2020,DC,128,18507,117.8571429,18.13675967,0,657,1,0,16.6995834,0.951370206,-1.65983738,0.157093261,14.72924541
10/1/2020,DE,174,20787,120,17.86880599,0,636,0.857142857,0,12.32331448,0.836224911,0.645506949,0.420747966,10.04850342
10/8/2020,DE,132,21682,127.8571429,13.55564593,2,651,2.142857143,0.205388575,13.13019816,-0.616165724,-0.645506949,0.50350044,13.41930505
10/15/2020,DE,95,22560,125.4285714,9.755957296,1,661,1.428571429,0.102694287,12.88079775,-0.542812662,-0.352094699,0.491678658,14.29795002
10/22/2020,DE,153,23528,138.2857143,15.71222596,0,670,1.285714286,0,14.20115288,0.850895524,1.158978385,0.488991889,14.02636885
10/29/2020,DE,161,24553,146.4285714,16.53378026,1,689,2.714285714,0.102694287,15.03737779,0.1173649,-1.24700206,0.546488738,15.46415153
11/5/2020,DE,219,25753,171.4285714,22.49004892,4,716,3.857142857,0.410777149,17.60473497,0.850895524,1.36436696,0.23007728,17.74525581
11/12/2020,DE,204,27546,256.1428571,20.94963461,8,732,2.285714286,0.821554299,26.30440817,-0.220059187,-2.009873909,0.264589705,21.06952389
10/1/2020,FL,2551,700602,2250.714286,11.8774152,131,14619,94,0.609933905,10.47928972,0.049220402,0.524130771,0.382031534,13.28358397
10/8/2020,FL,3246,717148,2363.714286,15.11332409,170,15254,90.71428571,0.791517281,11.00541591,0.462272698,0.020619358,0.386173194,11.41127946
10/15/2020,FL,3286,735685,2648.142857,15.29956345,144,15932,96.85714286,0.670461697,12.32971079,0.026605623,-0.148991488,0.450636904,11.9841974
10/22/2020,FL,5461,758306,3231.571429,25.42632867,162,16470,76.85714286,0.754269409,15.04614489,1.446680745,1.913609427,0.498119811,13.42627023
10/29/2020,FL,4111,784331,3717.857143,19.14075026,79,16854,54.85714286,0.367822737,17.3102834,-0.897939773,-2.16104172,0.666928975,16.38429405
11/5/2020,FL,6120,816376,4577.857143,28.49462213,39,17170,45.14285714,0.181583376,21.31442965,1.33626741,1.118766443,0.272166962,20.45752551
11/12/2020,FL,5504,851825,5064.142857,25.62653598,73,17585,59.28571429,0.339886833,23.57856816,-0.409726593,-1.299019538,0.239290605,25.50932379
10/1/2020,GA,1308,319334,1184,12.31937354,42,7063,34.42857143,0.395576215,11.15148186,-0.08072984,-0.434595637,0.411412325,14.86112747
10/8/2020,GA,1265,327407,1153.285714,11.91437885,35,7294,33,0.329646846,10.86219994,-0.057856385,0.248917006,0.399978729,12.14325392
10/15/2020,GA,1640,336241,1262,15.44630934,22,7492,28.28571429,0.207206589,11.8861234,0.504561498,0.766933477,0.41688271,11.82824431
10/22/2020,GA,1785,345535,1327.714286,16.81198912,25,7729,33.85714286,0.235462033,12.50505217,0.195097113,0.174914653,0.450887801,12.94323179
10/29/2020,GA,1823,356848,1616.142857,17.16989141,47,7923,27.71428571,0.442668621,15.22161128,0.051128898,-0.407685691,0.555662909,13.61720583
11/5/2020,GA,1916,368368,1645.714286,18.04581017,56,8578,93.57142857,0.527434953,15.50012923,0.125131252,-0.157423187,0.218744914,17.8945777
11/12/2020,GA,2496,380190,1688.857143,23.50852933,75,8881,43.28571429,0.706386098,15.90646942,0.780388451,1.080434355,0.150887302,18.55071057
10/1/2020,HI,120,12589,105.8571429,8.475342404,4,136,2,0.282511413,7.476462763,-0.474215587,-0.716368227,0.29121665,8.43804196
10/8/2020,HI,108,13232,91.85714286,7.627808163,3,163,3.857142857,0.21188356,6.487672816,-0.12107632,-0.080717547,0.242064602,8.141392047
